user_id,book_id,review_id,rating,review_text
5f550cc8d90df1759eda1496621187d8,7784,1042c7896d71be7271e1b9b411417001,5,"Devastating. I was surprised to read that when this book came out the logging industry was up in arms. The logging industry? Try the entirety of our consumer society. Who the heck needs a thneed anyway? It's a pointless product. But: ""You poor, stupid, guy. You never can tell what some people will buy!"" When the Lorax tells the Onceler that the plants and animals are dying? 'Now you listen here, Dad! ... Business is business and business must grow!"" It sounded like the U.S. Army Generals 'explaining' to the Sioux or the Cheyenne that they need to get out of the way of ""progress."" (See, e.g., ""Bury My Heart at Wounded Knee""). 
 It should also be noted that the Lorax is based on a character from a Russian fables, a man who comes out of the stump of a tree, and has an affinity with nature (found in Joseph Campbell)."
d1e368a7d2870eb6fbf6e0d350568a2d,31213678,6b923792bcecd6632abcee7007f86a77,4,"Fun story about a little fox who is determined to go out and play on a very windy day. He tries playing all sorts of things--pirates, cards, soccer--but the wind always ruins the fun. Eventually he goes home to pout. His mama encourages him to think out how he can play with the wind instead of against it. The little fox then thinks about flying kites! He makes kites for himself and all of his friends to enjoy on windy days. 
 Good for preschool storytimes."
753746d5d26fea030b33299b34ea1299,2253483,fc92be38b66f0e1bfcf00f9baf9cf9e3,4,"A year ago, I beta read a collection of poems about children who all meet unfortunate fates. This is its companion book (close companion), an A to Z of naughty children. The illustrations are fun, as are most of the poems, as long as you emphasize to your impressionable children (because mine are not impressionable, no, not at all) that this book represents the obnoxious sort."
bda576847fc8af9494d83d73bb8fea96,562764,95644737ef51e845955baad8646114a3,5,"My favorite line in this Scaredy Squirrel adventure is ""This was not a part of the plan!"" For gifted learners, especially those who struggle with anxiety, this is a common thought. But Scaredy Squirrel once again proves to use that sometimes that best laid plans may go awry. And when they do, things can still turn out alright. In fact, sometimes, the end result is even better than what we originally hoped for. 
 There are several Scaredy Squirrel books and I love all of them. The illustrations, which include maps and labeled graphics, always make me laugh. Melanie Watt does a fabulous job of adding humor to the serious topic of anxiety, providing us with great books we can share with our children and students to help them work through their worries and fears."
7320ee6c9368d2bc9e39a7281939160f,31213678,b9cc721f148f9b130ee0646985831563,5,"Argyle Fox by Marie Letourneau. Tanglewood Publishing. What an adorable book about a boy fox searching for the right playtime activity. The wonderful, creative nature scene illustrations full of flowers and trees and running streams make this a delightful read I know your child will enjoy. Highly recommend. Thanks to NetGalley and Tanglewood Publishing for providing this ebook for review."
7320ee6c9368d2bc9e39a7281939160f,18803455,0c7df4905116372c38cfdb28cb61f7a7,5,Thanks to NetGalley for providing this ebook for review. Highly recommend this joyful book with positive messages and gorgeous illustrations that any child would enjoy.
8d05420db5a5ef6d521d3fda5ec5ba81,17350491,6145fcc77bf0842e04412be51b854d81,4,Pure magic. This was a fun and surprising read. I'd definitely recommend to a reader not intimidated by the page count.
8d05420db5a5ef6d521d3fda5ec5ba81,143717,f58e72aab13bb59c3a21341e5e775ce9,4,"Good, but not as well done as the others in the series."
8d05420db5a5ef6d521d3fda5ec5ba81,12426366,676234a4441ffeb326d48365afbd88c2,4,"Such a fun read! I loved this and imagine all boys and girls aged 8-11 would find this completely silly, hillarious and a must read."
ab2fadb5c7bbe55c80406d2b3692e969,12426366,c891824311a1e2da4bb977bf3bd136c0,3,"4th&up 
 The latest by Tom Angleberger (of Origami Yoda fame), is a zany, fast-paced, quick read of a book. Everything a middle school reader could desire is included-- lots of action, plenty of pre-teen style humor, short chapters, entertaining illustrations, a touch of romance and a protagonist that is smarter than all the adults around him."
